text (S),location (S),phase (S),sentiment (S)
social distancing norms lock rules trying times glimpses todays blood donation camp organized maheshtala 14 number ward trinamool yuva congress mympismypride folded hands folded hands folded hands folded hands sumitt7mympismypride,kolkata,1,NEUTRAL
solid science medicine useless pack healers need put care services job,hyderabad,0,NEUTRAL
take safety efficacy use remdesivir favipiravir tocilizumab dexamethasone medications fight covid 19 treatment askwhoremdesivir favipiravir tocilizumab dexamethasone askwho,mumbai,2,NEUTRAL
taking much needed small break frm social media,delhi,1,NEUTRAL
telanganadgp pmoindia respected sirs proper corona testing treatment happening telangana patients get discharged tested without proper information bothered politician health public please take care us,hyderabad,1,NEUTRAL
thekanikakapoor tested positive 4th time kind attitude showing wants world decided cant accept infected carrying deadly virus inside covid coronavirusindia corona kanikakapoorcovid coronavirusindia corona kanikakapoor,bangalore,1,NEUTRAL
thillu mullu rajinikanth shown efficient worker take lie nosey boss save job job difficult get socialist hellhole india,hyderabad,0,NEGATIVE
today beloved brother sai kiran bhai donated blood crisis situation drop blood emergency pregnant woman light skin tone pregnant lady aditya hospital hospital uppal area god bless saikiran bhai red heart selector smiling face smiling eyes load… https www instagram com p b lfos h icomqsmqyxwp ld1l2ptjoytrkkmy0 igshid 1aok9cm28ko9zsai kiran bhai crisis situation pregnant god bless,hyderabad,1,NEUTRAL
trsharish raokavitha ktrtrs telanganacmo help son fight neuro disease post behalf friend brother amararapu thirumalesh need 8 lakhs sons treatment please help sir,hyderabad,1,NEUTRAL
unbeatablethalakingdom trophy sun selector king trp sun selector king trendsetter sun selector king mass sun selector king opening sun selector king boxoffice sun selector king social media sun selector king record setter thalaajith always remains king kollwood industry crown valimaiunbeatablethalakingdom thalaajith valimai,bangalore,0,NEUTRAL
wake 4am today per commitment lockdown never day make count thursdaythoughts folded hands coronawarriorslockdown thursdaythoughts coronawarriors,delhi,1,NEUTRAL
way lockdown initiative taken defeating cause request amp system say one die week hunger practical experience remain hungry weeks please request force maintain 21daysoflockdown21daysoflockdown,delhi,1,NEUTRAL
wonderful interactive session indira gandhi children hospital paediatric neurolgy pre conference workshop thanks dr vykuntaraju,bangalore,0,POSITIVE
300 cases ahmedabad 6th straight day ahmedabad hospitals nursing homes association ahna uploaded details availability beds covid hospitals website friday https ahmedabadmirror indiatimes com ahmedabad others 300 cases abad 6th straight day articleshow 76347717 cms via ahmedabadmirror,hyderabad,1,NEUTRAL
45 home kit seva done distributed needy people blood donation corona coronafighters coronavirus bloordonation help serve seva society cometogether social socialwork ngo mahango maharashtralockdownblood donation corona coronafighters coronavirus bloordonation help serve seva society cometogether social socialwork ngo mahango maharashtralockdown,mumbai,1,NEUTRAL
51 lakh given jobs mgnrega amid covid 19 crises 10 lakh job given soon kudos myogiadityanath ji bestcmyogijimgnrega covid 19 bestcmyogiji,delhi,1,NEUTRAL
airasia dear sir wish cancel flight booked holiday trip travel 1st march 2020 could refund full fare postponement possible without incurring loss money,bangalore,0,NEGATIVE
alexa google winking face elisa icmr niv appreciate hard work amp effort scientists icmr niv pune folded hands covid19 coronavirus coronawillendsoon atmanirbharbharatalexa elisa scientists covid19 coronavirus coronawillendsoon atmanirbharbharat,mumbai,1,NEUTRAL
amitshah dear sir look notice issued yet maulana saad corona spreader may happen may fled away neighborhood countries essential sir mha must act swiftly,kolkata,1,NEUTRAL
anyone hotdogs hot dog mumbai pune expressway lockdown economy food business depression jobloss shutdown dontworry willgetback food mall mumbai pune expressway https www instagram com p cbclygqpskb igshid 3na0f70hynb4hotdogs mumbai pune expressway lockdown economy food business depression jobloss shutdown dontworry willgetback,mumbai,1,NEUTRAL
anyone need wildcraft mask limited stock call 9940420042,chennai,1,NEUTRAL
arvindkejriwal sir curfew time 7 pm 7 followed,delhi,1,NEUTRAL
banned export mask india atleast,delhi,0,NEGATIVE
better relief time fallow look orders instructions maintain stay http home maintain social http distence see love affection couple,bangalore,1,NEUTRAL
big loss bejandaruwala astrologer ronakgajjarbejandaruwala astrologer ronakgajjar,mumbai,1,NEUTRAL
chinese medical staff paying ‘ high price ’ coronavirus battle,bangalore,0,NEUTRAL
common man delhi riots planned executed modi shah polarize people curfew imposed start things would ended things went control nsa sent manage international condemnation came thick fast,chennai,0,MIXED
comprehending lot boss social media understood wants become social media influencer 60s kids good luck kchirutweets new future mwah face blowing kiss,hyderabad,1,NEUTRAL
confuse tar 1 day pasun chalu ahai plan tackle corona golmaal movie sarkha lockdown 1 2 3 4 yet ahai,mumbai,1,NEUTRAL
congress loss rajasthan like west bengal keep post,delhi,2,NEUTRAL
corona spreading due train flight services,bangalore,2,NEUTRAL
coronavirus hit hard expect asia ’ economies bounce back,bangalore,0,NEUTRAL
coronavirus irans deputy health minister irajharirchi mp tested positive covid2019 outbreak worsens tehran iran coronavirusoutbreak coronavirusiran covid19 reutersirancoronavirus health irajharirchi covid2019 tehran iran coronavirusoutbreak coronavirusiran covid19,hyderabad,0,NEUTRAL
covid19 india fast tracking processes develop covid 19 vaccine icmrcovid19,hyderabad,2,NEUTRAL
delhipolice however even riots number muslims killed many times hindus mainly arrested searches conducted houses amp curfew imposed harsh manner localities https indianexpress com article express sunday eye writer ex ips officer vibhuti narain rai anatomy riots 6301054 justicejustice,mumbai,0,NEGATIVE
deyy rolling floor laughing face tears joy rolling floor laughing face tears joy rolling floor laughing srujana ramana coronasrujana ramana corona,hyderabad,0,NEUTRAL
dhanushkraja support create corona virus among people break corona biotechnologist reunite tamil nad chennai back form support,chennai,1,NEUTRAL
disgusting 2020 shown humans real virus,mumbai,1,NEGATIVE
dj ’ running order tonight promoter first run payment club sponsors finally close social media threat extend hours may get part payment best,bangalore,0,MIXED
doctor profession government hospital doctor couldnt reject patients queries economically socially literary backward,chennai,0,MIXED
dual means hera pherai due coronavirus ’ file representations,delhi,1,NEUTRAL
encouraging countries seem understate people infected covid 19 many cases infection takes place without indication amp vanishes low immunity seriously affected requiring treatment besides unhygienic environment due crowdingcovid 19,chennai,1,NEGATIVE
event friday https facebook com events episode 5 decoding career 986158588482239 ti cl astronomy astrologymemes covod19 pandemic2020 economy job jobsearch pinkslip hiring joblossastronomy astrologymemes covod19 pandemic2020 economy job jobsearch pinkslip hiring jobloss,bangalore,1,NEUTRAL
everyone http worried pakistan india dont create stupid things mind bcz corona doesnt religion rich poor well covid patients might created video 90 evry1 worried bcz medicine corona,hyderabad,1,NEGATIVE
finished watching jojorabbit loved movie specially quote end great job done raising hands medium light skin tone taikawaititi scarlettjohansson jojorabbitmovie jojorabbitmovie thomasinmckenziejojorabbit scarlettjohansson jojorabbitmovie thomasinmckenzie,mumbai,0,POSITIVE
fomites objects materials likely carry infection fomites around us door door knob mobile phone cell phone dollar banknote currency laptop computer laptop video game remotes electric plug light switche indiafightscorona coronavirus covid covid19 covid 19 coronavirusoutbreak togetherwecan stayhome 21daylockdownfomites indiafightscorona coronavirus covid covid19 covid 19 coronavirusoutbreak togetherwecan stayhome stayhome 21daylockdown,chennai,1,NEUTRAL
forgotten loss 6 iaf officers friendly fire,bangalore,0,NEGATIVE
give us update covid19,mumbai,1,NEUTRAL
goi use central resources open temporary community kitchens highways locations migrants accumulating things done real time emergency,kolkata,1,NEUTRAL
good hear sorry say nose mask used like shown tying neck may check indian ministry health world health guidelines,delhi,1,NEUTRAL
great job bro thumbs,delhi,1,POSITIVE
great job dear,chennai,1,POSITIVE
great job doctor,chennai,1,POSITIVE
gud 2be clear always perhaps ’ try mask safety others around consider covid recovered must antibodies means immunity tht fight bt tht ’ tentamount safe get caught stil carrier,mumbai,2,NEUTRAL
happie valentines day unknown gf put bhai zones friend zone bro zoned etc valentinesday2020valentinesday2020,bangalore,0,POSITIVE
havent given shoot order imposed curfew delhi police https www ndtv com delhi news havent given shoot order imposed curfew says delhi police 2186033 shared via ndtv news app android http ndtv com android iphone http ndtv com iphone,bangalore,0,NEUTRAL
help soft skill development mental personal health amp hygiene awareness girls,hyderabad,0,NEUTRAL
high quality face mask developed barc jitendra singh,mumbai,1,POSITIVE
hiv covid19 viral infection bacteria knows take advantage devestated health anand bugworks vaibhav bhatia swaps 24hiv covid19,bangalore,1,NEUTRAL
https imojo 3fw1jbo time protect deadly coronavirus wearing mask protect family friends loved ones indian2 ananyapandayvijaydeverakonda sidharthshuklafever shankar bigil justiceforkhkt kamalhaasan ananyapanday ranaayyubindian2 ananyapandayvijaydeverakonda sidharthshuklafever shankar bigil justiceforkhkt kamalhaasan ananyapanday,hyderabad,0,NEUTRAL
hv already supplying mask china providing every assistance needed thing called supply chain whole industry wont disrupt india balance,delhi,0,NEUTRAL
iss baar ramzan aisa bhi glimpse days used mohammed ali road ramzan ones love stay home pray home pray humanity safe mohammedaliroad ramzan ramzan2020 coronavirus covid19 mumbai stayhome staysafe – mohammed ali roadmohammedaliroad ramzan ramzan2020 coronavirus covid19 mumbai stayhome stayhome staysafe,mumbai,1,NEUTRAL
job loss continues uber layoff 3000 india swiggy earlier announced 1000 layoffs business going due lockdown joblossjobloss,delhi,1,NEUTRAL
kamalamma 70 years old senior citizen lady mysore donated rs 500 monthly pension rs 600 almost 90 monthly income charity serving foods area heart touched one saw social media media pmoindia cmofkarnataka coronawarriorkamalamma mysore coronawarrior,chennai,1,NEUTRAL
kashmir needs big change blood boils see reports rotten health care facilities valley,delhi,1,NEGATIVE
kolkatapolice kptrafficdept allowing citizens 60 travel work health professionals essential service providers kindly send back home mamataofficial wake help residents kolkata making better tomorrow,delhi,1,NEUTRAL
krishna kumar nutrition wellness coach helping guiding people weight loss weight gain,chennai,0,NEUTRAL
mask mandatory every outside home,kolkata,2,NEUTRAL
mask protect coronavirus •if healthy need wear mask taking care person suspected 2019 ncov infection wear mask coughing or… https www instagram com p b8vtkirn2ve igshid 1u1b7p5k9d33f,chennai,0,NEUTRAL
mla sudhakar cmofkarnataka kannada news channels creating fear regarding corona people seeing come depression request citizens please send news anchors mumbai delhi chennai let see corona reality kiranks,bangalore,1,NEUTRAL
ndtv rajiv kumar pm announced janata curfew 2 days advance none panicked pm made shocking curfew announcement 8 30 pm sent every citizen panic lockdown equal demo ’ time bureaucrats attend common man,mumbai,1,NEUTRAL
nice job,hyderabad,1,POSITIVE
nilavinmagal hearty wishes good luck good health loads happiness,chennai,0,POSITIVE
nobody pretend fine theyre afraid useless people judge choose health anyone elses without feeling guilty guys mentalhealth talkaboutit chooseyourselfmentalhealth talkaboutit chooseyourself,mumbai,1,NEGATIVE
panvel extended coronavirus lockdown till july 24 announces pmc news,mumbai,2,NEUTRAL
people isolation using mask roam around could trouble,bangalore,1,NEGATIVE
pmoindia 13 08 2020 dr p padmanabhan md senior consultant physician citytower hospitals annanagar chennai 40 mobile — 91 98401 28849 044 42938383 dear respectful honorable pm modijii thankful sir quick response,chennai,2,NEUTRAL
pmoindia amitshah rajnathsingh nitin gadkari myogiadityanath nitishkumar justice needs given employees terminated jobs construction company joblossjobloss,hyderabad,1,NEUTRAL
pmoindia cms night curfew strictly adhered states work individually ease lockdown rules problems come monsoons coming soon need ready amp prepared narendramodi,kolkata,1,NEUTRAL
polimernews social distance maintained amma unavagam 127 ward round building chinmaya nagar virugambakkam madras 92 social distancing covid2019india covid19outbreak – koyambedusocial distancing covid2019india covid19outbreak,chennai,1,NEUTRAL
post lockdown rarely go took small trip city stress buster evening well spent setting sun hussein sagar lake hyderabad hussainsagar buddhastatue evening sunsets lake… https www instagram com p cconiplgnt5 igshid 1pzag3iahdjeahyderabad hussainsagar buddhastatue evening sunsets lake,hyderabad,2,NEUTRAL
precautions universal panacea save ourself corona virus,delhi,1,NEGATIVE
r wear fly mask dont judge shameless attack state govt mixing two events tweet time reason get wish tweet auspicious occasion called guardian state,kolkata,1,NEUTRAL
rajasthanpoliticalcrisis meaning sachinpilots tweet truth may upset defeated social media scindia also wrote similar line away congress yesterday rae bareli mla aditi singh also wrote similar line,delhi,2,NEUTRAL
rather opposite may happening forces using covid19 opportunity bring market destruct wealth ensure trump returning power,chennai,0,NEUTRAL
record time confirm rate recovery rate 1st india covid19 recovery rate confirm rate single day mh done much accoladed work behind work single day recovered 8k covid patient,kolkata,1,NEUTRAL
red salute presidency university ’ movement hostel mess fee hike curfew timings imposed women students notoprivatisationofeducationnotoprivatisationofeducation,delhi,0,NEGATIVE
request government also please distribute mask sanitizer people cant afford due high price people cant afford,delhi,0,NEGATIVE
rip sushantsinghrajput terrible loss indian cinema loose charming charming star ripsushantripsushant,chennai,1,NEGATIVE
rules jobs,hyderabad,1,NEUTRAL
shaheenbaghprotest anti national act byjihadis protect illegal muslim migrants supported mainly cong amp commies ditched muslims leading decimation delhi muslims velantine day come happens shaheenbaghshaheenbaghprotest,chennai,0,NEUTRAL
sir called local mla response went golconda ghmc one time talk even almost colony facing problem since 9 days last 2 days family children ’ getting health problems,hyderabad,1,NEGATIVE
sir past three years treatment going sir 2 yrs dont ask one help fathers treatment sold every thing including house save fathers life sir pm cm scheme eligible fathers treatment operation purpose,chennai,1,NEUTRAL
social distancing,mumbai,1,NEUTRAL
stories love school college office social media etc story doesnt fall categories started library jjsnewadmin filtercoffeewedsbournvita adjj2020 motionpictures lncphotography lncphotographyinchennaijjsnewadmin filtercoffeewedsbournvita adjj2020 motionpictures lncphotography lncphotographyinchennai,chennai,0,NEUTRAL
syed daststageer r towlichowki hyd ts died today al heera hospital mecca saudi arabia corona family want see last time video call requesting indianembriyadh ktroffice ktrtrs drsjaishankar contact 9121751001corona,hyderabad,1,NEUTRAL
take care health protect others following covidー19 italy stayathome covid coronapocalypsecovid italy stayathome stayathome covid coronapocalypse,delhi,0,NEUTRAL
tea tastes different health drink,kolkata,0,NEUTRAL
think curfew imposed 5 places,kolkata,0,NEUTRAL
time us xfapsiansdelhi get together amp collect pledge minimum rs 5 lakhs amp bit covid19 please come forward wittydoc12 thewritesush jroy 1978 jai hind stayhomeindia narendramodi pmoindia hardeepspuricovid19 stayhomeindia,delhi,1,NEUTRAL
today 100 new covid19 patient detected bhiwandi total cases 570 total recovered patients 180 total death 21 total progressive cases 369 please use proper face mask wash hands frequently – bhiwandicovid19,mumbai,1,NEUTRAL
truly amazing stopped taking precaustions virus attempt showcase well state handling transportation migrants start five stars five stars ’ stay wfh motherfuckers,bangalore,1,MIXED
understand situation grinning face grinning face lighter note say days world shit afraid virus corona next days celebrate hindi corona zipper mouth face,bangalore,0,NEUTRAL
upload daily episode gon na loss u ur subs already less 7 week manage 7 episode week kindly upload new episode everyday read comment idea many subs loss making 3wk trtertugrulptv,delhi,1,NEUTRAL
used time sneeze people around would say god bless days sneeze people around immdtly say god bless aap corona logy samajhiye,chennai,0,NEUTRAL
wash hands wear mask carry sanitiser always staysure pediasure covidー19 stayhome thursdaymotivationcovid stayhome stayhome thursdaymotivation,hyderabad,1,NEUTRAL
wednesday july 15 2020 folded hands folded hands folded hands rose rose rose sai babas answer “ remember guru preceptor everything happen desired ” folded hands rose folded hands use mask fight covid sai saranam stores https www instagram com p ccpekxbgsa4 igshid t89zse5ru4uq,chennai,2,NEUTRAL
write whatsapp might able help sorry loss,bangalore,1,NEGATIVE
year 2018 january china u country started trade war china country business loss revenge making corona virus laboratory experiments time corona spread wuhan city parts world country china country social boycott full life,mumbai,1,NEGATIVE
yes 2 weeks curfew shouid brought back gurgaon,delhi,1,NEUTRAL
young reporters get assaulted hindu mobs jobs old anchor gets criticized clownery tv riotgear old anchor,bangalore,0,NEGATIVE
’ believe bureaucracy one blame economic polices last 6 years must compliment fabulous hit job narendramodi government,kolkata,1,NEUTRAL
“ ’ lot panic money left purchase food die hunger even coronavirus reaches us ” says kalim mulla worker closed handloom bhiwandi https bit ly 3ddj6m0 lockdownwithoutplan migrantsontheroad migrationpandemiclockdownwithoutplan migrantsontheroad migrationpandemic,delhi,1,MIXED
15 06 2020 day1 100daysofcode new beginning plural sight javascript channel javascript array collection bad maintaing movements hectic 10 hour job please suggest solution100daysofcode,mumbai,1,NEUTRAL
20th february international social justice day thinking video collage send kind video talking social justice lets thank chennai india https www instagram com p b8hbl80nrmc igshid h6n0knqfvwts,chennai,0,NEUTRAL
agree lot scope rationalising facilities reducing headcount dual use manufacturing processes like foundry forge machining heat treatment definitely outsourced vendors reluctant due cash flow issues caused delayed payments,hyderabad,0,NEUTRAL
amidst corona virus best form art kept us hanging thread hope today feel like losing may almighty give us strength cope loss,bangalore,1,POSITIVE
anything quite meh untill hospital scene,chennai,1,NEGATIVE
arivalayam dmk conduct health camp mlas mps within 24 hours lost two mlas 50s due renal problems mkstalin,chennai,0,NEUTRAL
authackeray ji need actemera injection friend rahul mother guru nanak hospital bandra east please injection arranged rrpspeaks zeeshan iyc rajeshtope11 ncpspeaks nawabmalikncp,mumbai,2,NEUTRAL
blaming dispensations inefficiency handling covid 19 crisis size population india like blaming young turk settling job didnt quite understand tough doubt doesnt mean cant done q collective,mumbai,1,NEGATIVE
boat rides giving sinking feeling indias kashmir policy lockdown 6 months,delhi,0,NEUTRAL
boats idling backwaters covid covıd19 covid 19 boat backwaters lockdown chennai india https www instagram com p b u0sn7lnkh igshid 1cocopqtpi11xcovid cov covid 19 boat backwaters lockdown,chennai,1,NEUTRAL
congratulations social distancing including kcr sir none wearing mask face rolling eyes,hyderabad,1,POSITIVE
corona kavach policy details coming official youtube channel https bit ly thiinkyoutubechannel coronakavach healthinsurance coronakavachpolicy thiink http thiink https www instagram com p cco06k6jtaq igshid big41rufg3lacoronakavach healthinsurance coronakavachpolicy thiink,mumbai,2,NEUTRAL
coronainpakistan guys calling chinesevirus chinesevirus19 chinesebioterrorism chineseviruscorona kyu china se phatati hai ya bheek nahi milegi baat ka darr hai follow profile dare say chinese virus coronacoronainpakistan chinesevirus chinesevirus19 chinesebioterrorism chineseviruscorona,bangalore,1,NEUTRAL
coronavirus outbreak might much bigger know,mumbai,0,NEUTRAL
covid 19 coronaupdate sanjnapandey mho ministryofhealth foreignminister ask foreign returns report travel history get n c health department untill passport suspended modecovid 19 coronaupdate sanjnapandey mho ministryofhealth foreignminister,kolkata,1,NEUTRAL
covid demand issue government addressed giving corporate tax cut job creators cant create jobs demand consume products services,kolkata,1,NEUTRAL
dear sushant speechless u promising hope rest peace family remains strong wake big loss depression real taking care mental health real ripsushantsinghrajput sushantsinghrajput letters yourquoteandmineripsushantsinghrajput sushantsinghrajput letters yourquoteandmine,mumbai,1,NEUTRAL
dear uber india cribbed cursed many times today take medium speak driver today overheard dad admitted hospital drop wished speedy recovery express enough gratitude,delhi,0,NEUTRAL
dear venkatagiri revert back shortly thank,bangalore,1,POSITIVE
decade ago active social site called skyrocket sky rockstar dont remember,hyderabad,2,NEUTRAL
died covid19 faced inhuman treatment across world yet count mistake,kolkata,1,NEGATIVE
distributed 1000 mask area picoftheday rssorg friendsofrss narendramodi amitshah bandisanjay bjp arvindharmapuri tigerrajasingh – bollaram gandhi statuepicoftheday,hyderabad,1,NEUTRAL
dont use mask unless symptoms,chennai,0,NEUTRAL
eat corona test live new delhi moti nagar,delhi,2,NEUTRAL
ever since lockdown missing momos even though make home ’ much effort quite time consuming make scratch today visited ratnadeep supermarket saw… https www instagram com p cba6elul9jc igshid 1b38z7w5abtfp,hyderabad,1,NEGATIVE
ever wont open eyes government improve medical facility reduce price treatment india would see money making industry poor people,bangalore,1,NEGATIVE
excellent step nationwide lockdown strictest curfew followed saturdays sundays next 4 months else without vaccine face disaster corona coming closer friends relatives stated getting affected extremely worried elders home,kolkata,2,NEUTRAL
false claims telangana gandhihospital well equipped deal covid19 busted yet two trs mlas tested positive treated private hospitals telanganacovidfailure trsgovtfailed telanganahidescorona indiafightscoronatelangana gandhihospital covid19 telanganacovidfailure trsgovtfailed telanganahidescorona indiafightscorona,hyderabad,1,NEGATIVE
good job sir,kolkata,1,POSITIVE
great great made whole lockdown period sooòoo loveable n live folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tonegreat lockdown period loveable,kolkata,1,POSITIVE
great intiative supreme court bar association us free health check supreme court india https www instagram com p b8j1u9 hrsr igshid 167cc3zelqeba,delhi,0,POSITIVE
great loss indian politics rip great leader also stays peoples heart somenmitraincindian rip,kolkata,2,NEGATIVE
guys already loss money coindcx thank highlighting irritating coindcx software still usage software irritating – singur station,kolkata,1,NEGATIVE
happening national capital territory arvindkejriwal wants spread corona virus disease across country today crowd anand vihar bus terminal delhi governor rule amp curfew needs delhi madeinchinavirus chinacoronavirus wuhanvirusmadeinchinaarvindkejriwal madeinchinavirus chinacoronavirus wuhanvirusmadeinchina,kolkata,1,NEUTRAL
happening time doctor health minister drharshvardhan understanding medical crisis,delhi,0,NEUTRAL
happy birthday rohit wishing health happiness amp everlasting joy entire life dear stayhome staysafe imro45 happybirthdayrohitstayhome stayhome staysafe happybirthdayrohit,hyderabad,1,POSITIVE
honorable kcr sir telanganacmo performing exceptionally well covid 19 lucky great dynamic chiefminister thank great job ktrtrs trsharish trspartyonline eatala rajender telanganahealth https twitter com ktrtrs status 1244226836134899713chiefminister,hyderabad,1,POSITIVE
honourable primeministerofindia narendramodi ji current economic downturn thanks giving emis 3 months relief public folded hands folded hands folded hands well people employees workers suffered loss due lockdown youre welcome announce budget help,hyderabad,1,POSITIVE
hyderabad hospital treated person died due coronovirus discharged family members acted haste needed condemned covid 19deathcovid 19death,chennai,0,NEGATIVE
illigal migrants termite wrong calling,chennai,0,NEGATIVE
im upper section im happy privilege fact makes angry whenever feel like im getting kind special treatment always fight,kolkata,0,POSITIVE
india first covid case reported kerala kerala good control virus spread kerala famous ayurveda medication must learn cant kerala medical fraternity share experiences rest nation,chennai,1,NEUTRAL
karnataka dipr team death family need urgently travel lucknow tmr morning bangalore plz guide done pass plz help dipr covid19,bangalore,1,NEUTRAL
kindly refund amount flts cancelled due lockdown written mails reminders since month may havent recieved response till date rs 36000 stuck u plz needful earliest folded hands medium light skin tone,bangalore,2,NEGATIVE
lady working icu dept hospital covid patients treated came home 20 days non stop service family n society people welcomed swamy39 arnabspeaks25 arunbajpairajan deshsarwohpari kapilmishra ind sudhirchaudhary,delhi,1,NEUTRAL
maam want meet please come haryana gr8 job us good human folded hands light skin tone folded hands light skin tone folded hands light skin tone god bless strength hard work humanity clapping hands clapping hands clapping hands 21dayslockdownindia beatthevirus blessings determination21dayslockdownindia beatthevirus blessings determination,delhi,1,POSITIVE
making esic voluntary individual informal workers deplorable negation commitment provide universal health coverage spectacular failure even covid19 convince india move genuine uhccovid19,chennai,1,NEUTRAL
migrant workers returning mumbai states testing positive coronavirus extra socialdistancing trains leave mumbai hope home state authorities take extra precaution receive migrants mumbaimumbai coronavirus socialdistancing mumbai mumbai,mumbai,1,NEUTRAL
missing vitamin sea always thankful gold old vitamin c glow heres started including night skincare routine vitamin c sleeping mask by… https www instagram com p ccojp6adnl9 igshid 1sqph762xx73k,bangalore,2,NEUTRAL
nsitharaman also create liquidity current targets also achieved gst loss compensated differential interest income new loans disbursed banks believe somehow managed explain point 5 5,delhi,1,NEUTRAL
obviously need spend time shower steve jobs grinning face,chennai,1,NEGATIVE
one cares atrocities human right violations sufferings due locksdown e g migrant labors sadhus killings deliberate spread virus non treatment ailments doctors amp hospitals china disease poor farmers amp daily wage earners indiatoday,bangalore,1,NEGATIVE
opportunities cheap question question ask center answer call bad health politics,mumbai,1,MIXED
patience see gov ruling 2001 2015 2002 riots curfew communal violence etc otherwise earlier every year curfew time kite flying season ganesh visarjan since 1947 sardar patel toller today see script modihaitohmumkinhai modimodihaitohmumkinhai modi,mumbai,0,NEUTRAL
pbhushan1 modiji visionary correct migrants fool bound die pm asked stay anyways migrants vote pm migrants die wont disturb winning margins ppl said abt notebandi dey voted,mumbai,1,NEUTRAL
people playing cricket lockdown without wearing mask jambori maidan worli careless request mumbai police take serious action mumbaipolice folded hands mybmc authackeray cmomaharashtra officeofut – jambori maidan,mumbai,1,NEGATIVE
pib india pibbhubaneswar q wat meaning supreme court sentence ferry migrants back state people r tn hungry without money road hv helping ration cmo odisha cmotamilnadu contact 95958 11890 plz rescue thm – chennai central,mumbai,1,NEUTRAL
pm holds key meet review steps taken fight coronavirus https www jagran com news national pm modi held detailed meeting senior ministers officials coronavirus pandemic 20387415 html via namo app,bangalore,1,NEUTRAL
potus realdonaldtrump whitehouse ivankatrump rashtrapatibhvn real india ever watching till mask please respond question narendramodi amitshah violence happening india resignamitshahresignamitshah,bangalore,0,NEGATIVE
pratapgarh uttar pradesh public curfew lock complete roa https youtu bvcnawqplts via youtube,delhi,1,NEUTRAL
precautions better treatment donations wont matter much amount given responsible care took problems come,hyderabad,1,NEGATIVE
private hospitals donated modis care fund given free hand suck blood amid pandemic,kolkata,1,NEUTRAL
question thinking china able control covid 19 spread countries still struggling coronavirus amp coronavirus limited parts china anyone answer whosearo drtedros mohfw india covid19covid 19 coronavirus covid19,delhi,2,NEUTRAL
rahul gandhi failed leader people even low iq high iq people following modi congress great time question ruling party related migrant crisis leadership congress bjp gon na loss bhakts changerahulgandhichangerahulgandhi,bangalore,1,NEGATIVE
relaxations likely maharashtra state capital mumbai likely see continuation lockdown number coronavirus cases continue rise,mumbai,1,NEUTRAL
sad huge loss sir punya aatma ko koti koti naman folded hands folded hands prayers peace departed soul folded hands folded hands,delhi,1,NEGATIVE
shaktikanta das reads paper even thanking rbi employees instilling confidence textbook guy ever scene life also swamy39 mentioned shaktikanta guy big suck thats got job first place,hyderabad,1,NEUTRAL
shall abide 21 days lockdown rule includes staying home follow directions given government india prevent spread coronavirus ahamed riyas managing director sypa tree sypa group companies founder chennai 11 foot zone,chennai,1,NEUTRAL
shame several videos hate speeches social media,delhi,2,NEGATIVE
shield face mask stay safeshield stay,hyderabad,2,NEUTRAL
singapore reported 96 cases deaths recovered critical higher temperature virus still less effective,kolkata,0,NEGATIVE
sir ensuring social distancing 130 cr population day dream ppl r aware conscious promote wfh digital work space,bangalore,1,NEUTRAL
sir party mlas maintaining health properly since many free medical facilities available making waste,chennai,0,NEUTRAL
sir scary see shop owners wearing mask considering could mass spreaders get cops really need monitor shops see taking precautions cos seen shop owners wearing tippasandra market,bangalore,1,NEUTRAL
skill signed 3 online courses public policy political philosophy economic development berkeley harvard oxford ’ come lockdown 3 certificates p,delhi,1,NEUTRAL
sonu sood liar year professional chor modi connecting aam aadmi would got opportunity fool around thousands migrants would road barefoot amp hungry hundreds migrants would died running trains,mumbai,1,NEUTRAL
spread red heart selector let corona spread corona contribute request covid19 encourage thankyou clap india indian charity happy homequarantine follow inspiration life gratitude love everyday lockdown family spreadlove covid appreciate donation shoutout please viruscorona contribute request covid19 encourage thankyou thankyou clap india indian charity happy homequarantine follow inspiration life gratitude gratitude love everyday lockdown family spreadlove covid appreciate donation shoutout please virus,mumbai,1,NEUTRAL
strange guy kapil mishra got degree social work worked amnesty gave delhi assembly remains stinging criticism pm modi dangerous maverick,hyderabad,0,NEGATIVE
superb job arunbothra ji great initiative hatsoff peacehatsoff peace,delhi,0,POSITIVE
telangana state cabinet meeting likely held july 1 july 2 discuss take decision reimposing lockdown ghmconline limits telanganacmo covid19 coronavirus hyderabadlockdowntelangana covid19 coronavirus hyderabadlockdown,hyderabad,1,NEUTRAL
ten lakh indians reached home town trains since 1st may labour day lakhs peoples reached home help stc buses rummurs fear corona long holidays yearly crops season riots delhi non planned development since nehru ji bad polictics opp,delhi,1,NEUTRAL
thank sharing ’ hope ones responsible loss realise even matter face rolling eyes face rolling eyes face rolling eyes,hyderabad,0,POSITIVE
tq u corona u targeted good one skullcapskullcap,hyderabad,1,POSITIVE
treatment good government hospitals mla mp charge constituency getting treatment pvt hospitals shows quality government hospitals millions people getting treatment fate indian public,bangalore,1,NEUTRAL
true health care infrastructure mark holding doctors responsible insane stupid indeed doctors managing patients infrastructure applaudable deserves appreciation,hyderabad,2,NEGATIVE
